"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"Gaylon Nickerson","1997","1997","G","6-3","190","February 5 1969","Wichita State Butler County Community College Kansas State Northwestern Oklahoma State University"
"Carl Nicks","1981","1983","G","6-1","175","October 6 1958","Indiana State University"
"Rich Niemann","1969","1972","C","7-0","245","July 2 1946","Saint Louis"
"Richie Niemiera","1949","1950","G-F","6-1","165","May 26 1921","Notre Dame"
"Mike Niles","1981","1981","F","6-6","225","March 31 1955","Cal State Fullerton"
"Kurt Nimphius","1982","1990","C-F","6-10","218","March 13 1958","Arizona State"
"Daishen Nix","2022","2022","G","6-5","224","February 13 2002",""
"Dyron Nix","1990","1990","F","6-7","210","February 11 1967","Tennessee"
"Norm Nixon","1978","1989","G","6-2","170","October 11 1955","Duquesne"
"Zeke Nnaji","2021","2022","F","6-9","240","January 9 2001","Arizona"
"Joakim Noah","2008","2020","C","6-11","230","February 25 1985","Florida"
"Chuck Noble","1956","1962","G","6-4","190","July 24 1931","Louisville"
"Andrés Nocioni","2005","2012","F","6-7","225","November 30 1979",""
"David Noel","2007","2007","F","6-6","230","February 27 1984","UNC"
"Nerlens Noel","2015","2022","C-F","6-11","220","April 10 1994","Kentucky"
"Paul Noel","1948","1952","F","6-4","185","August 17 1924","Kentucky"
"Lucas Nogueira","2015","2018","C","7-0","241","July 26 1992",""
"Jim Nolan","1950","1950","C","6-8","210","June 9 1927","Georgia Tech"
"Paul Nolen","1954","1954","C","6-10","","September 3 1929","Texas Tech"
"Jeff Nordgaard","1998","1998","F","6-7","225","February 23 1973","Green Bay"
"Bevo Nordmann","1962","1965","C","6-10","225","December 11 1939","Saint Louis"
"Johnny Norlander","1947","1951","F","6-3","180","March 5 1921","Hamline University"
"Connie Norman","1975","1979","G","6-3","175","September 24 1953","Arizona"
"Ken Norman","1988","1997","F","6-8","215","September 5 1964","Illinois"
"Audie Norris","1983","1985","C","6-9","230","December 18 1960","Jackson State University"
"Moochie Norris","1997","2006","G","6-1","175","July 27 1973","Auburn University of West Florida"
"Sylvester Norris","1980","1980","C","6-11","220","February 18 1957","Jackson State University"
"Zach Norvell","2020","2020","G","6-5","206","December 9 1997","Gonzaga"
"Willie Norwood","1972","1978","F","6-7","220","August 8 1947","Alcorn State"
"George Nostrand","1947","1950","C-F","6-8","195","January 25 1924","Wyoming"
"Stan Noszka","1947","1949","G","6-1","185","September 9 1920","Duquesne"
"Mike Novak","1949","1954","C-F","6-9","219","April 23 1915","Loyola Chicago"
"Steve Novak","2007","2017","F","6-10","225","June 13 1983","Marquette"
"Jaylen Nowell","2020","2022","G","6-4","201","July 9 1999","Washington"
"Mel Nowell","1963","1968","G","6-2","170","December 27 1939","Ohio State"
"Dirk Nowitzki","1999","2019","F","7-0","245","June 19 1978",""
"Frank Ntilikina","2018","2022","G","6-4","200","July 28 1998",""
"Kendrick Nunn","2020","2021","G","6-2","190","August 3 1995","Illinois Oakland"
"James Nunnally","2014","2021","F","6-7","208","July 14 1990","UC Santa Barbara"
"Jusuf Nurki?","2015","2022","C","6-11","290","August 23 1994",""
"Dennis Nutt","1987","1987","G","6-2","170","March 25 1963","TCU"
"David Nwaba","2017","2022","G","6-5","219","January 14 1993","Cal Poly"
"Jordan Nwora","2021","2022","F","6-8","225","September 9 1998","Louisville"
"Julius Nwosu","1995","1995","C","6-10","255","May 1 1971","Liberty"
"Charles O'Bannon","1998","1999","G-F","6-5","209","February 22 1975","UCLA"
"Ed O'Bannon","1996","1997","F","6-8","222","August 14 1972","UCLA"
"John O'Boyle","1953","1953","G","6-2","185","March 7 1928","Colorado State"
"Bob O'Brien","1948","1949","F","6-4","190","January 26 1927","Pepperdine"
"J.J. O'Brien","2016","2016","F","6-7","228","April 8 1992","San Diego State"
"Jim O'Brien","1974","1975","F","6-7","200","November 7 1951","Maryland"
"Jimmy O'Brien","1972","1975","G","6-1","170","April 9 1950","Boston College"
"Ralph O'Brien","1952","1953","G","5-9","160","April 8 1928","Butler"
"Johnny O'Bryant","2015","2018","F-C","6-9","257","June 1 1993","LSU"
"Patrick O'Bryant","2007","2010","C","7-0","260","June 20 1986","Bradley"
"Dermie O'Connell","1949","1950","G","6-0","174","April 13 1928","Holy Cross"
"Andy O'Donnell","1950","1950","G","6-1","180","March 10 1925","Loyola (MD)"
"Buddy O'Grady","1947","1949","G","5-11","160","January 19 1920","Georgetown"
"Fran O'Hanlon","1971","1971","G","6-1","175","August 24 1948","Villanova"
"Dick O'Keefe","1948","1951","G-F","6-2","185","September 29 1923","Santa Clara"
"Tommy O'Keefe","1951","1951","G","6-2","185","June 3 1928","Georgetown"
"Mike O'Koren","1981","1988","F-G","6-7","207","February 7 1958","UNC"
"Grady O'Malley","1970","1970","F","6-5","205","April 25 1948","Manhattan College"
"Jermaine O'Neal","1997","2014","C-F","6-11","226","October 13 1978",""
"Shaquille O'Neal*","1993","2011","C","7-1","325","March 6 1972","LSU"
"Royce O'Neale","2018","2022","F","6-4","226","June 5 1993","Denver Baylor"
"Mike O'Neill","1953","1953","F","6-3","210","August 11 1928","California"
"Kyle O'Quinn","2013","2020","F-C","6-9","250","March 26 1990","Norfolk State"
"Kevin O'Shea","1951","1953","G","6-2","175","July 10 1925","Notre Dame"
"Garland O'Shields","1947","1947","G-F","6-1","195","May 23 1921","Tennessee"
"Dan O'Sullivan","1991","1996","C","6-10","250","March 3 1968","Fordham"
"Charles Oakley","1986","2004","F-C","6-8","225","December 18 1963","Virginia Union University"
"Fabricio Oberto","2006","2011","C-F","6-10","245","March 21 1975",""
"Daniel Ochefu","2017","2017","C","6-11","245","December 15 1993","Villanova"
"Greg Oden","2009","2014","C","7-0","250","January 22 1988","Ohio State"
"Lamar Odom","2000","2013","F","6-10","220","November 6 1979","Rhode Island"
"Bud Ogden","1970","1971","F","6-6","215","December 29 1946","Santa Clara"
"Ralph Ogden","1971","1971","F","6-5","205","January 25 1948","Santa Clara"
"Alan Ogg","1991","1993","C","7-2","240","July 5 1967","UAB"
"Don Ohl","1961","1970","G","6-3","190","April 18 1936","Illinois"
"Tim Ohlbrecht","2013","2013","C","6-11","255","August 30 1988",""
"Semi Ojeleye","2018","2022","F","6-6","240","December 5 1994","Duke SMU"
"Emeka Okafor","2005","2018","C-F","6-10","252","September 28 1982","UConn"
"Jahlil Okafor","2016","2021","C-F","6-10","270","December 15 1995","Duke"
"Chuma Okeke","2021","2022","F","6-6","229","August 18 1998","Auburn"
"Elie Okobo","2019","2020","G","6-3","190","October 23 1997",""
"Josh Okogie","2019","2022","G","6-4","213","September 1 1998","Georgia Tech"
"Onyeka Okongwu","2021","2022","F","6-8","235","December 11 2000","USC"
"Isaac Okoro","2021","2022","G-F","6-5","225","January 26 2001","Auburn"
"KZ Okpala","2020","2022","F","6-8","215","April 28 1999","Stanford"
"Mehmet Okur","2003","2012","C-F","6-11","249","May 26 1979",""
"Victor Oladipo","2014","2022","G","6-4","213","May 4 1992","Indiana"
"Hakeem Olajuwon*","1985","2002","C","7-0","255","January 21 1963","Houston"
"Mark Olberding","1976","1987","F","6-8","225","April 21 1956","Minnesota"
"Jawann Oldham","1981","1991","C","7-0","215","July 4 1957","Seattle University"
"John Oldham","1950","1951","G","6-3","175","June 22 1923","Western Kentucky"
"Frank Oleynick","1976","1977","G","6-2","185","February 20 1955","Seattle University"
"John Olive","1979","1980","F","6-7","210","March 1 1955","Villanova"
"Brian Oliver","1991","1998","G","6-4","210","June 1 1968","Georgia Tech"
"Cameron Oliver","2021","2022","F","6-8","239","July 11 1996","Nevada"
"Dean Oliver","2002","2003","G","5-11","180","November 5 1978","Iowa"
"Jimmy Oliver","1992","1999","G-F","6-5","205","July 12 1969","Purdue"
"Kevin Ollie","1998","2010","G","6-4","195","December 27 1972","UConn"
"Gene Ollrich","1950","1950","G","5-11","160","June 30 1922","Drake University"
"Michael Olowokandi","1999","2007","C","7-0","269","April 3 1975","University of the Pacific"
"Bud Olsen","1963","1970","F-C","6-8","220","July 25 1940","Louisville"
"Kelly Olynyk","2014","2022","C-F","6-11","240","April 19 1991","Gonzaga"
"Eugene Omoruyi","2022","2022","F","6-7","244","February 14 1997","Rutgers University Oregon"
"Miye Oni","2020","2022","G","6-5","206","August 4 1997","Yale"
"Arinze Onuaku","2014","2017","C","6-9","255","July 13 1987","Syracuse"
"Chinanu Onuaku","2017","2018","F-C","6-10","245","November 1 1996","Louisville"
"Barry Orms","1969","1970","G","6-3","190","May 1 1946","Saint Louis"
"Johnny Orr","1950","1950","F","6-3","195","June 10 1927","Beloit College"
"Louis Orr","1981","1988","F","6-8","175","May 7 1958","Syracuse"
"José Ortiz","1989","1990","F","6-10","225","October 25 1963","Oregon State"
"Daniel Orton","2012","2014","C-F","6-10","255","August 6 1990","Kentucky"
"Chuck Osborne","1962","1962","F","6-6","210","January 21 1939","Western Kentucky"
"Cedi Osman","2018","2022","F","6-7","230","April 8 1995",""
"Wally Osterkorn","1952","1955","F-C","6-5","215","July 6 1928","Illinois"
"Greg Ostertag","1996","2006","C","7-2","280","March 6 1973","Kansas"
"Matt Othick","1993","1993","G","6-2","165","March 16 1969","Arizona"
"Don Otten","1950","1953","C","6-10","240","April 18 1921","Bowling Green"
"Mac Otten","1950","1950","F-C","6-7","220","December 16 1925","Bowling Green"
"Daniel Oturu","2021","2022","F-C","6-8","240","September 20 1999","Minnesota"
"Kelly Oubre Jr.","2016","2022","F","6-7","203","December 9 1995","Kansas"
"Bo Outlaw","1994","2008","F","6-8","210","April 13 1971","South Plains College Houston"
"Travis Outlaw","2004","2014","F","6-9","210","September 18 1984",""
"Claude Overton","1953","1953","G","6-2","195","December 16 1927","East Central University"
"Doug Overton","1993","2004","G","6-3","190","August 3 1969","La Salle"
"Andre Owens","2006","2008","G","6-4","200","October 31 1980","Indiana Houston"
"Billy Owens","1992","2001","F-G","6-8","220","May 1 1969","Syracuse"
"Chris Owens","2003","2003","F","6-7","245","March 1 1979","Tulane Texas"
"Eddie Owens","1978","1978","F","6-7","210","December 26 1953","UNLV"
"Jim Owens","1974","1975","F","6-5","200","May 1 1950","Arizona State"
"Keith Owens","1992","1992","F","6-7","225","May 31 1969","UCLA"
"Larry Owens","2011","2012","F","6-7","210","January 8 1983","Oral Roberts"
"Red Owens","1950","1952","G-F","6-3","185","September 2 1925","Baylor"
"Tariq Owens","2020","2020","F","6-10","205","June 30 1995","Tennessee St. John's Texas Tech"
"Tom Owens","1972","1983","C-F","6-10","215","June 28 1949","South Carolina"
"Ray Owes","1997","1997","F","6-9","224","December 11 1972","Arizona"
"Olumide Oyedeji","2001","2003","C","6-10","240","May 11 1981",""
"Joe Pace","1977","1978","C","6-10","220","December 18 1953","Coppin State University"
"Zaza Pachulia","2004","2019","C","6-11","270","February 10 1984",""
"Robert Pack","1992","2004","G","6-2","180","February 3 1969","USC"
"Wayne Pack","1975","1975","G","6-0","165","July 5 1950","Tennessee Technological University"
"Gerald Paddio","1991","1994","F-G","6-7","205","April 21 1965","UNLV"
"Scott Padgett","2000","2007","F","6-9","240","April 19 1976","Kentucky"
"Dana Pagett","1972","1972","G","6-2","180","March 29 1949","USC"
"Jaysean Paige","2022","2022","G","6-3","205","July 30 1994","College of Southern Idaho Moberly Area Community College West Virginia"
"Marcus Paige","2018","2018","G","6-1","175","September 11 1993","UNC"
"Fred Paine","1949","1949","F","6-5","210","December 7 1925","Westminster College of Pennsylvania"
"Milt Palacio","2000","2006","G","6-3","195","February 7 1978","Midland College Colorado State"
"Togo Palazzi","1955","1960","F-G","6-4","205","August 8 1932","Holy Cross"
"Bud Palmer","1947","1949","F-C","6-4","180","September 14 1921","Princeton"
"Errol Palmer","1968","1968","F","6-5","195","","DePaul"
"Jim Palmer","1959","1961","F-C","6-8","224","June 8 1933","Dayton"
"Trayvon Palmer","2022","2022","G","6-6","200","November 13 1994","North Dakota State College of Science Chicago State"
"Walter Palmer","1991","1993","C-F","7-1","215","October 23 1968","Dartmouth College"
"Kevin Pangos","2022","2022","G","6-2","179","January 26 1993","Gonzaga"
"Andy Panko","2001","2001","F","6-9","222","November 27 1977","Lebanon Valley College"
"Georgios Papagiannis","2017","2018","C","7-1","240","July 3 1997",""
"Kostas Papanikolaou","2015","2016","F","6-8","225","July 31 1990",""
"Jannero Pargo","2003","2015","G","6-1","175","October 22 1979","Arkansas"
"Jeremy Pargo","2012","2020","G","6-2","219","March 17 1986","Gonzaga"
"Easy Parham","1949","1951","F-G","6-3","200","December 27 1921","Texas Wesleyan University"
"Robert Parish*","1977","1997","C","7-1","230","August 30 1953","Centenary (LA)"
"Med Park","1956","1960","G-F","6-2","205","April 11 1933","Missouri"
"Anthony Parker","1998","2012","G","6-6","215","June 19 1975","Bradley"
"Jabari Parker","2015","2022","F","6-8","245","March 15 1995","Duke"
"Smush Parker","2003","2008","G","6-4","190","June 1 1981","Fordham"
"Sonny Parker","1977","1982","F-G","6-6","200","March 22 1955","Texas A&M"
"Tony Parker","2002","2019","G","6-2","185","May 17 1982",""
"Barry Parkhill","1974","1976","G","6-4","185","May 10 1951","Virginia"
"Jack Parkinson","1950","1950","G","6-0","174","March 4 1924","Kentucky"
"Charles Parks","1969","1969","F","6-5","210","","Idaho State University"
"Cherokee Parks","1996","2004","C-F","6-11","235","October 11 1972","Duke"
"Richard Parks","1968","1968","F","6-7","235","October 28 1943","Saint Louis"
"Jack Parr","1959","1959","C","6-9","220","March 13 1936","Kansas State"
"Doyle Parrack","1947","1947","F-G","6-0","165","December 6 1921","Oklahoma State"
"Charlie Parsley","1950","1950","G","6-2","175","October 13 1925","Western Kentucky"
"Chandler Parsons","2012","2020","F","6-9","230","October 25 1988","Florida"
"Eric Paschall","2020","2022","F","6-6","255","November 4 1996","Fordham Villanova"
"Anžejs Pase??iks","2020","2021","C","7-1","229","December 20 1995",""
"Žarko Paspalj","1990","1990","F","6-9","215","March 27 1966",""
"Marty Passaglia","1947","1949","G","6-1","170","April 22 1919","Santa Clara"
"George Pastushok","1947","1947","G","6-1","195","July 13 1922","St. John's"
"Myles Patrick","1981","1981","F","6-8","220","November 19 1954","Auburn"
"Stan Patrick","1950","1950","F-G","6-2","185","May 5 1922","Illinois"
"Andrae Patterson","1999","2000","F","6-9","238","November 12 1975","Indiana"
"George Patterson","1968","1968","C-F","6-8","230","November 26 1939","Toledo"
"Lamar Patterson","2016","2017","G-F","6-5","225","August 12 1991","Pitt"
"Patrick Patterson","2011","2021","F","6-8","235","March 14 1989","Kentucky"
"Ruben Patterson","1999","2008","F","6-5","224","July 31 1975","Cincinnati"
"Steve Patterson","1972","1976","C","6-9","225","June 24 1948","UCLA"
"Tom Patterson","1973","1974","F","6-6","220","October 15 1948","Ouachita Baptist University"
"Worthy Patterson","1958","1958","G","6-2","175","June 17 1931","UConn"
"Justin Patton","2018","2021","C","6-11","241","June 14 1997","Creighton"
"Brandon Paul","2018","2018","G","6-4","200","April 30 1991","Illinois"
"Chris Paul","2006","2022","G","6-0","175","May 6 1985","Wake Forest"
"Charlie Paulk","1969","1972","F-C","6-8","219","June 14 1946","Northeastern State University"
"Jerry Paulson","1958","1958","G","6-2","185","July 21 1935","Manhattan College"
"Billy Paultz","1971","1985","C-F","6-11","235","July 30 1948","Cameron University St. John's"
"Sasha Pavlovi?","2004","2013","G-F","6-8","220","November 15 1983",""
"Jim Paxson","1957","1958","F-G","6-6","200","December 19 1932","Dayton"
"Jim Paxson","1980","1990","G-F","6-6","200","July 9 1957","Dayton"
"John Paxson","1984","1994","G","6-2","185","September 29 1960","Notre Dame"
"Johnny Payak","1950","1953","G-F","6-4","174","November 20 1926","Bowling Green"
"Adreian Payne","2015","2018","F-C","6-10","237","February 19 1991","Michigan State"
"Cameron Payne","2016","2022","G","6-1","183","August 8 1994","Murray State"
"Kenny Payne","1990","1993","F-G","6-8","195","November 25 1966","Louisville"
"Tom Payne","1972","1972","C","7-2","240","November 19 1950","Kentucky"
"Elfrid Payton","2015","2022","G","6-3","195","February 22 1994","Louisiana"
"Gary Payton*","1991","2007","G","6-4","180","July 23 1968","Oregon State"
"Gary Payton II","2017","2022","G","6-3","190","December 1 1992","Oregon State"
"Mel Payton","1952","1953","F-G","6-4","185","July 16 1926","Tulane"
"George Pearcy","1947","1947","G","6-1","165","July 2 1919","Indiana State University"
"Henry Pearcy","1947","1947","G","6-1","170","July 21 1922","Indiana State University"
"Oleksiy Pecherov","2008","2010","C","7-0","232","December 8 1985",""
"Wiley Peck","1980","1980","G","6-7","220","September 15 1957","Mississippi State"
"Rich Peek","1968","1968","C","6-11","230","October 28 1943","Florida Louisiana Tech"
